SK Size,PK Size,Key Gen Time,Sign Size,Sign Time,Verify Time,Name of the curve
77,51,1.0317087173461914,422,6.8071112632751465,6.075437545776367,HSIKE-a4b3c10
77,51,1.9163298606872559,423,12.784056663513184,6.012540578842163,HSIKE-a3b4c12
77,51,1.222301959991455,423,5.797168970108032,5.684480667114258,HSIKE-a4b4c10
76,58,1.1589329242706299,421,4.065119504928589,4.0323567390441895,HSIKE-a6b6c6
77,58,1.2278144359588623,423,2.1780099868774414,1.735429048538208,HSIKE-a6b16c6
77,51,1.045659065246582,423,15.533908605575562,15.236086368560791,HSIKE-a4b12c4
77,51,0.8412251472473145,423,17.397135972976685,17.32329821586609,HSIKE-a4b12c18
77,54,1.0493464469909668,423,3.5510449409484863,3.4087331295013428,HSIKE-a2b6c2
78,51,0.9863312244415283,423,21.819661140441895,21.59566903114319,HSIKE-a1b4c2
78,58,1.0183708667755127,423,2.8640496730804443,2.5082814693450928,HSIKE-a8b4c2
