SK Size,PK Size,Key Gen Time,Sign Size,Sign Time,Verify Time,Variants
55,330,0.24810457229614258,46,0.36432313919067383,0.3898756504058838,SIKE-p434
63,378,0.2662625312805176,37,0.5070664882659912,0.5065908432006836,SIKE-p503
77,462,0.3663303852081299,75,0.6877501010894775,0.7120795249938965,SIKE-p610
94,564,0.7675666809082031,98,0.9723353385925293,0.9492993354797363,SIKE-p751
32,192,9.08316969871521,61,31.403225898742676,37.085084438323975,BSIKE-p253
32,192,16.48860478401184,55,13.426490783691406,14.945852041244507,BSIKE-p255
31,186,9.649207592010498,55,6.549819707870483,9.475048780441284,BSIKE-p247
30,180,29.877933502197266,49,1.0372905731201172,11.051110982894897,BSIKE-p237
33,198,1.1809992790222168,40,11.630276679992676,8.706321477890015,BSIKE-p257
77,58,0.7101843357086182,77,1.665616512298584,1.902989387512207,HSIKE-a6b16c6
